Product Category,Product Name,Unit Price,ratings
PREPARED FOODS,Snack Foods,209.49,3.97
PREPARED FOODS,Household,47.6,4.31
PREPARED FOODS,Household,161.39,3.04
PREPARED FOODS,Dairy,244.68,3.36
PREPARED FOODS,Fruits and Vegetables,116.55,2.7
PREPARED FOODS,Household,32.09,2.02
PREPARED FOODS,Meat,194.95,3.58
PREPARED FOODS,Household,42.41,3.34
PREPARED FOODS,Fruits and Vegetables,217.75,2.17
PREPARED FOODS,Breads,164.26,4.25
PREPARED FOODS,Meat,205.1,2.88
PREPARED FOODS,Canned,80.36,3.62
PREPARED FOODS,Baking Goods,114.02,3.26
PREPARED FOODS,Household,192.15,2.38
PREPARED FOODS,Household,103.4,3.83
PREPARED FOODS,Household,143.38,3.8
PREPARED FOODS,Fruits and Vegetables,116.65,3.39
PREPARED FOODS,Household,173.94,4.57
PREPARED FOODS,Others,144.85,2
PREPARED FOODS,Breads,217.22,4.14
PREPARED FOODS,Canned,112.19,3.83
PREPARED FOODS,Dairy,55.83,5
PREPARED FOODS,Health and Hygiene,183.26,1.77
PREPARED FOODS,Frozen Foods,248.15,2.64
PREPARED FOODS,Snack Foods,124.9,4.87
PREPARED FOODS,Hard Drinks,57.06,5
PREPARED FOODS,Meat,106.69,2.75
PREPARED FOODS,Fruits and Vegetables,181.03,4.34
PREPARED FOODS,Fruits and Vegetables,122.34,3.17
PREPARED FOODS,Fruits and Vegetables,188.72,4.08
PREPARED FOODS,Canned,188.82,2.83
PREPARED FOODS,Snack Foods,179.67,2.33
PREPARED FOODS,Frozen Foods,38.38,4.01
PREPARED FOODS,Snack Foods,263.26,5
PREPARED FOODS,Dairy,90.15,2.01
PREPARED FOODS,Baking Goods,144.84,3
PREPARED FOODS,Dairy,214.99,1.72
PREPARED FOODS,Household,141.35,4.34
PREPARED FOODS,Fruits and Vegetables,96.81,3.84
PREPARED FOODS,Frozen Foods,152.7,3.12
PREPARED FOODS,Starchy Foods,90.38,3.88
PREPARED FOODS,Starchy Foods,165.82,2.63
PREPARED FOODS,Household,262.56,4.47
PREPARED FOODS,Starchy Foods,181.26,3.43
PREPARED FOODS,Household,221.65,3.93
PREPARED FOODS,Household,180.1,3.76
PREPARED FOODS,Baking Goods,108.19,2.93
PREPARED FOODS,Dairy,122.38,4.18
PREPARED FOODS,Soft Drinks,245.25,4.78
PREPARED FOODS,Household,256.26,3.57
PREPARED FOODS,Soft Drinks,173.71,2.95
PREPARED FOODS,Snack Foods,124.87,5
PREPARED FOODS,Frozen Foods,148.64,3.12
PREPARED FOODS,Hard Drinks,252.44,3.98
PREPARED FOODS,Dairy,145.18,1.75
PREPARED FOODS,Soft Drinks,152.7,4.2
PREPARED FOODS,Snack Foods,100.64,2.91
PREPARED FOODS,Health and Hygiene,97.37,5
PREPARED FOODS,Snack Foods,188.69,4
PREPARED FOODS,Dairy,177.63,3.5
PREPARED FOODS,Fruits and Vegetables,108.96,2.74
PREPARED FOODS,Breads,230.57,2.57
PREPARED FOODS,Starchy Foods,225.51,4.52
PREPARED FOODS,Canned,46.24,5
PREPARED FOODS,Dairy,242.25,2.08
PREPARED FOODS,Meat,165.78,5
PREPARED FOODS,Dairy,223.14,3.74
PREPARED FOODS,Frozen Foods,107.79,2.48
PREPARED FOODS,Breads,99.47,3.19
PREPARED FOODS,Health and Hygiene,122.14,4.43
PREPARED FOODS,Dairy,48.14,2.81
PREPARED FOODS,Snack Foods,140.42,2.13
PREPARED FOODS,Dairy,145.61,2.67
PREPARED FOODS,Baking Goods,185.72,2.85
PREPARED FOODS,Health and Hygiene,81.16,3.8
PREPARED FOODS,Meat,151.14,3.47
PREPARED FOODS,Baking Goods,97.21,4.78
PREPARED FOODS,Canned,169.28,3.84
PREPARED FOODS,Baking Goods,122.11,3.78
PREPARED FOODS,Soft Drinks,191.55,4.63
PREPARED FOODS,Household,250.61,3.44
PREPARED FOODS,Canned,248.61,3.38
PREPARED FOODS,Snack Foods,53.06,3.44
PREPARED FOODS,Dairy,48.87,4.52
PREPARED FOODS,Dairy,249.78,3.2
PREPARED FOODS,Fruits and Vegetables,159.03,3.29
PREPARED FOODS,Meat,190.65,2.91
PREPARED FOODS,Canned,76.7,5
PREPARED FOODS,Frozen Foods,232.07,2.26
PREPARED FOODS,Meat,95.38,3.84
PREPARED FOODS,Hard Drinks,107.09,4.57
PREPARED FOODS,Frozen Foods,55.96,4.13
PREPARED FOODS,Baking Goods,92.55,2.65
PREPARED FOODS,Dairy,96.37,2.78
PREPARED FOODS,Snack Foods,116.95,5
PREPARED FOODS,Baking Goods,178.77,2.37
PREPARED FOODS,Household,33.06,2.11
PREPARED FOODS,Frozen Foods,84.62,3.42
PREPARED FOODS,Baking Goods,87.35,2.29
PREPARED FOODS,Baking Goods,220.21,3.18
PREPARED FOODS,Baking Goods,186.42,3.71
PREPARED FOODS,Meat,120.68,3.92
PREPARED FOODS,Baking Goods,38.82,5
PREPARED FOODS,Canned,110.13,2.33
PREPARED FOODS,Canned,108.23,3.17
PREPARED FOODS,Baking Goods,177.84,1.53
PREPARED FOODS,Fruits and Vegetables,116.45,2.91
PREPARED FOODS,Household,109.39,3.96
PREPARED FOODS,Baking Goods,93.95,3.76
PREPARED FOODS,Soft Drinks,81.33,3.53
PREPARED FOODS,Frozen Foods,151.27,3.33
PREPARED FOODS,Snack Foods,39.58,5
PREPARED FOODS,Baking Goods,76.53,5
PREPARED FOODS,Canned,94.71,3.53
PREPARED FOODS,Baking Goods,151.8,4.63
PREPARED FOODS,Soft Drinks,188.39,4.81
PREPARED FOODS,Breads,36.59,3.5
PREPARED FOODS,Soft Drinks,97.38,1.65
PREPARED FOODS,Household,128.6,3.08
PREPARED FOODS,Dairy,89.55,2.71
PREPARED FOODS,Health and Hygiene,126.93,4.12
PREPARED FOODS,Household,152.6,3.42
PREPARED FOODS,Fruits and Vegetables,189.78,4.83
PREPARED FOODS,Household,106.1,1.84
PREPARED FOODS,Household,53.76,2.87
PREPARED FOODS,Snack Foods,118.95,2.53
PREPARED FOODS,Fruits and Vegetables,246.21,4.14
PREPARED FOODS,Household,180.47,3.12
PREPARED FOODS,Hard Drinks,259.33,5
PREPARED FOODS,Household,158.46,4.42
PREPARED FOODS,Breads,129.5,2.79
PREPARED FOODS,Breakfast,49.1,4.94
PREPARED FOODS,Breads,65.28,4.74
PREPARED FOODS,Dairy,82.52,4.44
PREPARED FOODS,Dairy,58.29,2.12
PREPARED FOODS,Frozen Foods,158.03,2.93
PREPARED FOODS,Others,182.56,2.53
PREPARED FOODS,Fruits and Vegetables,231.1,3.78
PREPARED FOODS,Fruits and Vegetables,183.03,4.06
PREPARED FOODS,Frozen Foods,75.4,3.56
PREPARED FOODS,Baking Goods,110.55,3.26
PREPARED FOODS,Baking Goods,87.55,4.91
PREPARED FOODS,Fruits and Vegetables,174.37,3.82
PREPARED FOODS,Baking Goods,150.47,5
PREPARED FOODS,Canned,186.92,3.45
PREPARED FOODS,Starchy Foods,188.59,4.11
PREPARED FOODS,Household,161.49,4.33
PREPARED FOODS,Household,106.53,1.51
PREPARED FOODS,Baking Goods,39.41,3.2
PREPARED FOODS,Baking Goods,151.3,2.21
PREPARED FOODS,Fruits and Vegetables,228.8,4.67
PREPARED FOODS,Baking Goods,127.64,3.27
PREPARED FOODS,Meat,180.63,3.63
PREPARED FOODS,Baking Goods,36.49,4.9
PREPARED FOODS,Soft Drinks,236.46,3.79
PREPARED FOODS,Fruits and Vegetables,102.73,5
PREPARED FOODS,Canned,198.58,2.19
PREPARED FOODS,Frozen Foods,243.91,2.78
PREPARED FOODS,Household,55.5,3.17
PREPARED FOODS,Health and Hygiene,108.23,3.92
PREPARED FOODS,Household,110.95,4.99
PREPARED FOODS,Fruits and Vegetables,199.14,5
PREPARED FOODS,Starchy Foods,239.45,2.79
PREPARED FOODS,Hard Drinks,225.21,3.24
PREPARED FOODS,Household,169.51,2.04
PREPARED FOODS,Fruits and Vegetables,101.4,4.37
PREPARED FOODS,Snack Foods,236.22,4.49
PREPARED FOODS,Baking Goods,151.21,3.6
PREPARED FOODS,Canned,227.84,4.56
PREPARED FOODS,Snack Foods,51.2,2.83
PREPARED FOODS,Household,154.6,4.31
PREPARED FOODS,Fruits and Vegetables,219.05,3.8
PREPARED FOODS,Snack Foods,191.88,2.42
PREPARED FOODS,Fruits and Vegetables,169.35,2.23
PREPARED FOODS,Frozen Foods,53.93,4.93
PREPARED FOODS,Snack Foods,118.38,3.54
PREPARED FOODS,Soft Drinks,140.62,3.58
PREPARED FOODS,Snack Foods,189.16,4.14
PREPARED FOODS,Canned,155.8,3.85
PREPARED FOODS,Fruits and Vegetables,123.04,2.72
PREPARED FOODS,Meat,118.18,3
PREPARED FOODS,Fruits and Vegetables,245.01,4.26
PREPARED FOODS,Frozen Foods,82.82,4.5
PREPARED FOODS,Meat,195.61,4.99
PREPARED FOODS,Snack Foods,117.01,2.63
PREPARED FOODS,Canned,112.22,3.68
PREPARED FOODS,Household,38.88,4.05
PREPARED FOODS,Meat,205.8,2.51
PREPARED FOODS,Canned,92.61,4.84
PREPARED FOODS,Snack Foods,240.92,2.9
PREPARED FOODS,Others,130.03,5
PREPARED FOODS,Meat,102.27,3.21
PREPARED FOODS,Frozen Foods,244.91,3.24
PREPARED FOODS,Canned,154.3,2.24
PREPARED FOODS,Household,238.92,4.45
PREPARED FOODS,Hard Drinks,145.61,5
PREPARED FOODS,Frozen Foods,141.18,5
PREPARED FOODS,Snack Foods,169.21,3.43
PREPARED FOODS,Canned,178.37,2.64
PREPARED FOODS,Household,116.22,3.01
PREPARED FOODS,Starchy Foods,87.42,2.84
PREPARED FOODS,Breads,226.4,2.14
PREPARED FOODS,Health and Hygiene,160.39,4.85
PREPARED FOODS,Snack Foods,259.9,2.03
PREPARED FOODS,Frozen Foods,96.94,3.98
PREPARED FOODS,Snack Foods,255.24,3.33
PREPARED FOODS,Starchy Foods,168.52,5
PREPARED FOODS,Canned,95.28,5
PREPARED FOODS,Snack Foods,100.84,2.46
PREPARED FOODS,Snack Foods,73.6,1.58
PREPARED FOODS,Breads,109.16,2.74
PREPARED FOODS,Health and Hygiene,127.9,5
PREPARED FOODS,Household,117.22,2.84
PREPARED FOODS,Frozen Foods,244.25,2.19
PREPARED FOODS,Starchy Foods,173.07,4.13
PREPARED FOODS,Fruits and Vegetables,37.85,4.3
PREPARED FOODS,Others,211.16,3.59
PREPARED FOODS,Snack Foods,142.28,3.55
PREPARED FOODS,Baking Goods,104.06,3.33
PREPARED FOODS,Snack Foods,101.04,2.66
PREPARED FOODS,Fruits and Vegetables,118.05,4.36
PREPARED FOODS,Dairy,47.07,4.34
PREPARED FOODS,Household,38.18,1.78
PREPARED FOODS,Frozen Foods,63.62,2.22
PREPARED FOODS,Snack Foods,264.69,2.77
PREPARED FOODS,Fruits and Vegetables,239.46,4.05
PREPARED FOODS,Snack Foods,175.04,3.97
PREPARED FOODS,Frozen Foods,83.13,3.36
PREPARED FOODS,Snack Foods,104.46,2.94
PREPARED FOODS,Snack Foods,227.27,2.63
PREPARED FOODS,Health and Hygiene,94.41,3.44
PREPARED FOODS,Soft Drinks,244.75,3.77
PREPARED FOODS,Dairy,152.27,3.88
PREPARED FOODS,Canned,74.57,1.73
PREPARED FOODS,Breads,44.04,2.99
PREPARED FOODS,Starchy Foods,181.76,3.73
PREPARED FOODS,Household,141.45,5
PREPARED FOODS,Snack Foods,158.53,5
PREPARED FOODS,Dairy,157.53,4.34
PREPARED FOODS,Canned,186.49,2.84
PREPARED FOODS,Household,169.55,1.82
PREPARED FOODS,Health and Hygiene,177.67,3.53
PREPARED FOODS,Household,182.9,4.6
PREPARED FOODS,Snack Foods,112.15,3
PREPARED FOODS,Snack Foods,153.8,5
PREPARED FOODS,Snack Foods,213.26,4.05
PREPARED FOODS,Household,115.65,3.6
PREPARED FOODS,Health and Hygiene,144.41,2.95
PREPARED FOODS,Household,148.34,3.63
PREPARED FOODS,Hard Drinks,45.91,4.38
PREPARED FOODS,Fruits and Vegetables,79.03,3.24
PREPARED FOODS,Snack Foods,178.24,5
PREPARED FOODS,Fruits and Vegetables,65.72,4.05
PREPARED FOODS,Canned,115.18,3.64
PREPARED FOODS,Snack Foods,132.83,4.13
PREPARED FOODS,Dairy,94.81,3.89
PREPARED FOODS,Baking Goods,186.69,4.77
PREPARED FOODS,Household,153.4,4.36
PREPARED FOODS,Canned,151.3,3.05
PREPARED FOODS,Frozen Foods,245.51,2.86
PREPARED FOODS,Dairy,250.18,4.45
PREPARED FOODS,Breads,131.13,4.44
PREPARED FOODS,Fruits and Vegetables,90.41,2.08
PREPARED FOODS,Soft Drinks,56.46,2.24
PREPARED FOODS,Snack Foods,54.86,4.96
PREPARED FOODS,Snack Foods,42.24,4.47
PREPARED FOODS,Soft Drinks,118.44,2.43
PREPARED FOODS,Others,105.23,3.72
PREPARED FOODS,Frozen Foods,84.02,2.66
PREPARED FOODS,Fruits and Vegetables,149.24,5
PREPARED FOODS,Household,194.51,3.38
PREPARED FOODS,Baking Goods,132.13,3.85
PREPARED FOODS,Others,165.12,4.25
PREPARED FOODS,Fruits and Vegetables,144.41,5
PREPARED FOODS,Soft Drinks,41.11,3.59
PREPARED FOODS,Household,244.75,4.37
PREPARED FOODS,Soft Drinks,181.16,3.93
PREPARED FOODS,Household,235.36,2
PREPARED FOODS,Baking Goods,105.03,4.4
PREPARED FOODS,Fruits and Vegetables,91.68,3.6
PREPARED FOODS,Meat,156.09,5
PREPARED FOODS,Health and Hygiene,165.78,3.72
PREPARED FOODS,Household,99.17,3.59
PREPARED FOODS,Snack Foods,179.13,5
PREPARED FOODS,Fruits and Vegetables,157.43,4.15
PREPARED FOODS,Baking Goods,85.89,3.91
PREPARED FOODS,Household,221.45,3.05
PREPARED FOODS,Household,128.63,3.2
PREPARED FOODS,Dairy,125.87,3.43
PREPARED FOODS,Household,104.3,3.62
PREPARED FOODS,Snack Foods,82.99,3.24
PREPARED FOODS,Snack Foods,236.89,4.33
PREPARED FOODS,Fruits and Vegetables,185.19,4.8
PREPARED FOODS,Frozen Foods,231.2,5
PREPARED FOODS,Fruits and Vegetables,123.97,3.66
PREPARED FOODS,Frozen Foods,100.4,2.96
PREPARED FOODS,Health and Hygiene,119.84,2.86
PREPARED FOODS,Household,176.61,3.21
