Product Category,Product Name,Unit Price,ratings
PLAYERS AND ELECTRONICS,Laptop,1599.99,3.34
Home Appliances,Espresso Machine,899.99,3.29
LADIESWEAR,Polo shirt,49.99,5
Books,To Kill a Mockingbird by Harper Lee,14.99,4
Beauty,Glossier Boy Brow,16,3.46
Sports,Kettlebell,69.99,1.49
PLAYERS AND ELECTRONICS,Airpods,249.99,3.13
Home Appliances,Air Purifier,499.99,3.28
LADIESWEAR,Trucker Jacket,89.99,2.55
Books,The Hobbit by J.R.R. Tolkien,12.99,4.97
Beauty,Facial Moisturizer,100,3.66
Sports,Basketball,24.99,3.34
PLAYERS AND ELECTRONICS,Ring Video Doorbell,99.99,3.49
Home Appliances,LG OLED TV,1299.99,4.02
LADIESWEAR,Jacket,79.99,2.92
Books,The Catcher in the Rye by J.D. Salinger,13.99,4.47
Beauty,Facial Moisturizer,105,3.85
Sports,Cloud running shoes,129.99,4.21
PLAYERS AND ELECTRONICS,Wireless  Mouse,99.99,3.84
Home Appliances,Slow Cooker,179.99,4.71
LADIESWEAR,Superstar Sneakers,79.99,4.22
Books,The Alchemist by Paulo Coelho,14.99,3.59
Beauty,Facial Moisturizer,68,4.8
Sports,Pedometer,999.99,3.84
PLAYERS AND ELECTRONICS,Wireless Speaker,299.99,3.26
Home Appliances,Countertop Blender,349.99,3.16
LADIESWEAR,Crewneck T-shirt,19.99,4.64
Books,The Power of Now by Eckhart Tolle,12.99,2.51
Beauty,Facial Moisturizer,82,4.93
Sports,Sneakers,109.99,3.76
PLAYERS AND ELECTRONICS,Canon EOS R5 Camera,3899.99,1.73
Home Appliances,Robot Vacuum Cleaner,349.99,4.47
LADIESWEAR,Slim fit jeans,39.99,3.77
Books,The Girl on the Train by Paula Hawkins,10.99,4.3
Beauty,Facial Moisturizer,6.5,3.66
Sports,Dumbbells,399.99,1.78
PLAYERS AND ELECTRONICS,Google Nest Hub Max,229.99,5
Home Appliances,Electric griddle,159.99,4.03
LADIESWEAR, Relaxed-Fit T-Shirt,14.99,2.8
Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,18.99,3.54
Beauty,Sunscreen,15,4.52
Sports,Pedometer,229.95,3.37
PLAYERS AND ELECTRONICS,Amazon Echo Show 10,249.99,3.27
Home Appliances,Electric griddle,299.95,2.72
LADIESWEAR, Skinny Jeans,49.99,4.17
Books,Atomic Habits by James Clear,16.99,3.69
Beauty, Facial Cleanser,14.99,2.26
Sports,Cooler,249.99,4.03
PLAYERS AND ELECTRONICS,Apple iPad Air,599.99,2.07
Home Appliances,Coffee Maker,89.99,4.86
LADIESWEAR, Graphic Tee,12.99,3.25
Books,The Subtle Art of Not Giving a F*ck by Mark Manson,14.99,3.75
Beauty, Concealer,30,3.25
Sports,Cooler,199.99,3.97
PLAYERS AND ELECTRONICS,Video Game Console,499.99,4.46
Home Appliances, Hair Dryer,399.99,4.65
LADIESWEAR, Leggings,98,4.46
Books,The Four Agreements by Don Miguel Ruiz,8.99,3.89
Beauty, Highlighter,36,4.06
Sports, Wide Mouth Water Bottle,39.95,2.4
PLAYERS AND ELECTRONICS, Laptop ,1299.99,4.17
Home Appliances,Mini Coffee Maker,79.99,4.46
LADIESWEAR,Sweatshirt,34.99,3.08
Books,Think and Grow Rich by Napoleon Hill,9.99,4.83
Beauty,Facial Moisturizer,6.8,4.63
Sports,Smartwatch,99.95,3.51
PLAYERS AND ELECTRONICS,Gaming Monitor,1499.99,1.8
Home Appliances,Instant Pot Ultra,139.99,4.35
LADIESWEAR,Track Pants,44.99,4.49
Books,The Power of Habit by Charles Duhigg,11.99,2.78
Beauty, Moisturizing Lotion,29.5,4.5
Sports, Cooler,299.99,3.08
PLAYERS AND ELECTRONICS,Apple AirPods Max,549,3.76
Home Appliances, Coffee Maker,199.95,2.99
LADIESWEAR,Trucker Jacket,98,3.37
Books,The Outsiders by S.E. Hinton,10.99,3.7
Beauty, Sleeping Mask,25,2.01
Sports,Wireless airdopes,149.99,5
PLAYERS AND ELECTRONICS,headsets,349.99,2.51
Home Appliances,Pressure Cooker,199.99,5
LADIESWEAR,Fleece Hoodie,54.99,4
Books,The Night Circus by Erin Morgenstern,16.99,2.04
Beauty,Scar Treatment,59,5
Sports,Pedometer,299.99,4.35
PLAYERS AND ELECTRONICS,Phone,899.99,4.37
Home Appliances,Espresso Machine,499.95,5
LADIESWEAR,T-shirt,24.99,4.53
Books,The Art of War by Sun Tzu,7.99,4.19
Beauty,Face cleanser,36,5
Sports, Foam Roller,34.99,4.43
PLAYERS AND ELECTRONICS,Apple MacBook ,1199.99,3.91
Home Appliances,Food Processor,199.99,3.96
LADIESWEAR,3-Stripes Shorts,29.99,3.74
Books,The Hunger Games by Suzanne Collins,8.99,4.59
Beauty,Facial Moisturizer,16.99,2.73
Sports,Rambler Bottle,49.99,3.41
PLAYERS AND ELECTRONICS,Gaming Monitor,699.99,3.73
Home Appliances,Slow Cooker,139.99,3.05
LADIESWEAR,Running Shorts,34.99,5
Books,The Girl with the Dragon Tattoo by Stieg Larsson,9.99,5
Beauty,Facial Scrub,29.5,2.56
Sports,Dumbbells,699.99,2.64
PLAYERS AND ELECTRONICS,Fire TV Stick ,49.99,3.52
Home Appliances,Slow Cooker,49.99,5
LADIESWEAR,Mesh Boxer Briefs,14.9,4.7
Books,The Sun Also Rises by Ernest Hemingway,11.99,3.44
Beauty,Facial Moisturizer,34,3.55
Sports,Sunglasses,146,3
PLAYERS AND ELECTRONICS,Pixelbook Go,649.99,4.29
Home Appliances,Wet/Dry vacuum,399.99,4.19
LADIESWEAR, Slim Fit Jeans,59.99,4.12
Books,The Martian by Andy Weir,12.99,4.84
Beauty,Facial Moisturizer,190,4.06
Sports,Smartwatch,499.95,4.25
PLAYERS AND ELECTRONICS,Soundbar,399,3.05
Home Appliances,Precision Cooker,199,4.89
LADIESWEAR,Training Shorts,34.99,3.32
Books,The Catcher in the Rye by J.D. Salinger,10.99,4.87
Beauty,Blush,18,3.46
Sports,Suspension Training Kit,169.95,2.78
PLAYERS AND ELECTRONICS, Wireless Gaming Headset,199.99,4.19
Home Appliances, Coffee Grinder ,199.95,3.73
LADIESWEAR, Running Shoes,179.99,3.26
Books,The Road by Cormac McCarthy,11.99,3.98
Beauty,Perfume,125,4.2
Sports,Action Camera,449.99,5
PLAYERS AND ELECTRONICS,Apple TV ,179,3.49
Home Appliances,Instant Pot ,99.95,3.74
LADIESWEAR,Fit Jeans,59.99,5
Books,The Goldfinch by Donna Tartt,14.99,3.34
Beauty,Redness Neutralising Cream,52,3.3
Sports,Wheeled Cooler,399.99,4.94
PLAYERS AND ELECTRONICS,Smartwatch,299.99,1.85
Home Appliances,Stand Mixer,379.99,2.7
LADIESWEAR,High-Rise Leggings,98,3.41
Books,The Great Alone by Kristin Hannah,16.99,4.45
Beauty,Scar Treatment,79,3.79
Sports, Bluetooth Speaker ,129,1.92
PLAYERS AND ELECTRONICS,DSLR Camera,749.99,3.25
Home Appliances,Coffee Maker,169.99,5
LADIESWEAR, Boxer Briefs,9.9,2.41
Books,The Girl with the Dragon Tattoo by Stieg Larsson,10.99,5
Beauty,Hand Cream,29,2.77
Sports,Cooler,349.99,3.05
PLAYERS AND ELECTRONICS,MacBook ,2399,4.54
Home Appliances,iRobot Braava Jet M6,449.99,5
LADIESWEAR,Champion Reverse Weave Hoodie,49.99,3.46
Books,The Nightingale by Kristin Hannah,12.99,3.32
Beauty, Concealer,27,3.58
Sports,Pedometer,599.99,3.39
PLAYERS AND ELECTRONICS,Voice assistamt,49.99,3.54
Home Appliances, Toothbrush,229.99,0.95
LADIESWEAR,Old Navy Mid-Rise Rockstar Super Skinny Jeans,44.99,3.45
Books,The Silent Patient by Alex Michaelides,26.99,4.25
Beauty,Ordinary Caffeine ,6.7,4
Sports,Pedometer,149.95,3.53
PLAYERS AND ELECTRONICS,Wireless Router,169,4.68
Home Appliances,Oven,599,3.31
LADIESWEAR,Hoodie,64.99,3.71
Books,Dune by Frank Herbert,9.99,4.31
Beauty,Lip Treatment,24,2.24
Sports,Water Bottle,32.95,2.84
PLAYERS AND ELECTRONICS,headsets,299,3.09
Home Appliances,Coffee Maker,159.99,2.43
LADIESWEAR,Sneakers,90,3.7
Books,The Handmaid's Tale by Margaret Atwood,10.99,5
Beauty,Stretch mark cream,55,2.24
Sports,Tumbler,29.99,4.43
PREPARED FOODS,Snack Foods,107.8622,3.99
PREPARED FOODS,Dairy,87.3198,4.26
PREPARED FOODS,Others,241.7538,4.04
PREPARED FOODS,Snack Foods,155.034,3.62
PREPARED FOODS,Dairy,234.23,2.79
PREPARED FOODS,Fruits and Vegetables,117.1492,3.92
PREPARED FOODS,Baking Goods,50.1034,4.29
PREPARED FOODS,Baking Goods,81.0592,2.29
PREPARED FOODS,Snack Foods,95.7436,4.56
PREPARED FOODS,Baking Goods,186.8924,3.04
PREPARED FOODS,Fruits and Vegetables,118.3466,4.02
PREPARED FOODS,Fruits and Vegetables,85.3908,4.84
PREPARED FOODS,Health and Hygiene,240.4196,4.62
PREPARED FOODS,Breads,122.3098,3.61
PREPARED FOODS,Hard Drinks,52.0298,3.87
PREPARED FOODS,Baking Goods,151.6366,4.75
PREPARED FOODS,Seafood,198.7768,5
PREPARED FOODS,Soft Drinks,192.2188,1.01
PREPARED FOODS,Household,109.6912,3.72
PREPARED FOODS,Snack Foods,193.7136,2.72
PREPARED FOODS,Fruits and Vegetables,175.008,5
PREPARED FOODS,Others,239.9196,1.8
PREPARED FOODS,Frozen Foods,47.7402,3.75
PREPARED FOODS,Others,142.347,5
PREPARED FOODS,Snack Foods,180.7318,4.56
PREPARED FOODS,Snack Foods,209.4928,3.97
PREPARED FOODS,Household,47.6034,4.31
PREPARED FOODS,Household,161.3894,3.04
PREPARED FOODS,Dairy,244.6802,3.36
PREPARED FOODS,Fruits and Vegetables,116.5492,2.7
PREPARED FOODS,Household,32.09,2.02
PREPARED FOODS,Meat,194.9452,3.58
PREPARED FOODS,Household,42.4112,3.34
PREPARED FOODS,Fruits and Vegetables,217.7508,2.17
PREPARED FOODS,Breads,164.2552,4.25
PREPARED FOODS,Meat,205.098,2.88
PREPARED FOODS,Canned,80.3644,3.62
PREPARED FOODS,Baking Goods,114.0176,3.26
PREPARED FOODS,Household,192.1504,2.38
PREPARED FOODS,Household,103.3964,3.83
PREPARED FOODS,Household,143.3786,3.8
PREPARED FOODS,Fruits and Vegetables,116.6466,3.39
PREPARED FOODS,Household,173.9422,4.57
PREPARED FOODS,Others,144.847,2
PREPARED FOODS,Breads,217.2166,4.14
PREPARED FOODS,Canned,112.1886,3.83
PREPARED FOODS,Dairy,55.8298,5
PREPARED FOODS,Health and Hygiene,183.2608,1.77
PREPARED FOODS,Frozen Foods,248.146,2.64
PREPARED FOODS,Snack Foods,124.9046,4.87
PREPARED FOODS,Hard Drinks,57.0614,5
PREPARED FOODS,Meat,106.6938,2.75
PREPARED FOODS,Fruits and Vegetables,181.0318,4.34
PREPARED FOODS,Fruits and Vegetables,122.3388,3.17
PREPARED FOODS,Fruits and Vegetables,188.7188,4.08
PREPARED FOODS,Canned,188.8188,2.83
PREPARED FOODS,Snack Foods,179.666,2.33
PREPARED FOODS,Frozen Foods,38.3822,4.01
PREPARED FOODS,Snack Foods,263.2568,5
PREPARED FOODS,Dairy,90.1514,2.01
PREPARED FOODS,Baking Goods,144.8444,3
PREPARED FOODS,Dairy,214.9876,1.72
PREPARED FOODS,Household,141.347,4.34
PREPARED FOODS,Fruits and Vegetables,96.8094,3.84
PREPARED FOODS,Frozen Foods,152.6998,3.12
PREPARED FOODS,Starchy Foods,90.3804,3.88
PREPARED FOODS,Starchy Foods,165.8158,2.63
PREPARED FOODS,Household,262.5594,4.47
PREPARED FOODS,Starchy Foods,181.2634,3.43
PREPARED FOODS,Household,221.6456,3.93
PREPARED FOODS,Household,180.0976,3.76
PREPARED FOODS,Baking Goods,108.1938,2.93
PREPARED FOODS,Dairy,122.3756,4.18
PREPARED FOODS,Soft Drinks,245.2486,4.78
PREPARED FOODS,Household,256.2646,3.57
PREPARED FOODS,Soft Drinks,173.7054,2.95
PREPARED FOODS,Snack Foods,124.8704,5
PREPARED FOODS,Frozen Foods,148.6392,3.12
PREPARED FOODS,Hard Drinks,252.4382,3.98
PREPARED FOODS,Dairy,145.176,1.75
PREPARED FOODS,Soft Drinks,152.6998,4.2
PREPARED FOODS,Snack Foods,100.6358,2.91
PREPARED FOODS,Health and Hygiene,97.3726,5
PREPARED FOODS,Snack Foods,188.6898,4
PREPARED FOODS,Dairy,177.6344,3.5
PREPARED FOODS,Fruits and Vegetables,108.9596,2.74
PREPARED FOODS,Breads,230.5668,2.57
PREPARED FOODS,Starchy Foods,225.5062,4.52
PREPARED FOODS,Canned,46.2376,5
PREPARED FOODS,Dairy,242.2538,2.08
PREPARED FOODS,Meat,165.7816,5
PREPARED FOODS,Dairy,223.1404,3.74
PREPARED FOODS,Frozen Foods,107.7912,2.48
PREPARED FOODS,Breads,99.47,3.19
PREPARED FOODS,Health and Hygiene,122.1414,4.43
PREPARED FOODS,Dairy,48.135,2.81
PREPARED FOODS,Snack Foods,140.4154,2.13
PREPARED FOODS,Dairy,145.6102,2.67
PREPARED FOODS,Baking Goods,185.724,2.85
PREPARED FOODS,Health and Hygiene,81.1618,3.8
PREPARED FOODS,Meat,151.1366,3.47
PREPARED FOODS,Baking Goods,97.2068,4.78
PREPARED FOODS,Canned,169.279,3.84
PREPARED FOODS,Baking Goods,122.1098,3.78
PREPARED FOODS,Soft Drinks,191.553,4.63
PREPARED FOODS,Household,250.6066,3.44
PREPARED FOODS,Canned,248.6092,3.38
PREPARED FOODS,Snack Foods,53.064,3.44
PREPARED FOODS,Dairy,48.8692,4.52
PREPARED FOODS,Dairy,249.775,3.2
PREPARED FOODS,Fruits and Vegetables,159.0262,3.29
PREPARED FOODS,Meat,190.653,2.91
PREPARED FOODS,Canned,76.6986,5
PREPARED FOODS,Frozen Foods,232.0668,2.26
PREPARED FOODS,Meat,95.3752,3.84
PREPARED FOODS,Hard Drinks,107.0938,4.57
PREPARED FOODS,Frozen Foods,55.9588,4.13
PREPARED FOODS,Baking Goods,92.5462,2.65
PREPARED FOODS,Dairy,96.3726,2.78
PREPARED FOODS,Snack Foods,116.9466,5
PREPARED FOODS,Baking Goods,178.766,2.37
PREPARED FOODS,Household,33.0558,2.11
PREPARED FOODS,Frozen Foods,84.625,3.42
PREPARED FOODS,Baking Goods,87.3514,2.29
PREPARED FOODS,Baking Goods,220.2114,3.18
PREPARED FOODS,Baking Goods,186.424,3.71
PREPARED FOODS,Meat,120.6756,3.92
PREPARED FOODS,Baking Goods,38.8164,5
PREPARED FOODS,Canned,110.1254,2.33
PREPARED FOODS,Canned,108.2254,3.17
PREPARED FOODS,Baking Goods,177.837,1.53
PREPARED FOODS,Fruits and Vegetables,116.4492,2.91
PREPARED FOODS,Household,109.3912,3.96
PREPARED FOODS,Baking Goods,93.9462,3.76
PREPARED FOODS,Soft Drinks,81.3276,3.53
PREPARED FOODS,Frozen Foods,151.2708,3.33
PREPARED FOODS,Snack Foods,39.5822,5
PREPARED FOODS,Baking Goods,76.5328,5
PREPARED FOODS,Canned,94.7094,3.53
PREPARED FOODS,Baking Goods,151.805,4.63
PREPARED FOODS,Soft Drinks,188.3898,4.81
PREPARED FOODS,Breads,36.5874,3.5
PREPARED FOODS,Soft Drinks,97.3752,1.65
PREPARED FOODS,Household,128.5968,3.08
PREPARED FOODS,Dairy,89.5514,2.71
PREPARED FOODS,Health and Hygiene,126.9336,4.12
PREPARED FOODS,Household,152.6024,3.42
PREPARED FOODS,Fruits and Vegetables,189.7846,4.83
PREPARED FOODS,Household,106.0964,1.84
PREPARED FOODS,Household,53.7614,2.87
PREPARED FOODS,Snack Foods,118.9466,2.53
PREPARED FOODS,Fruits and Vegetables,246.2144,4.14
PREPARED FOODS,Household,180.466,3.12
PREPARED FOODS,Hard Drinks,259.3278,5
PREPARED FOODS,Household,158.4604,4.42
PREPARED FOODS,Breads,129.4994,2.79
PREPARED FOODS,Breakfast,49.1008,4.94
PREPARED FOODS,Breads,65.2826,4.74
PREPARED FOODS,Dairy,82.525,4.44
PREPARED FOODS,Dairy,58.293,2.12
PREPARED FOODS,Frozen Foods,158.0288,2.93
PREPARED FOODS,Others,182.5608,2.53
PREPARED FOODS,Fruits and Vegetables,231.101,3.78
PREPARED FOODS,Fruits and Vegetables,183.0292,4.06
PREPARED FOODS,Frozen Foods,75.4038,3.56
PREPARED FOODS,Baking Goods,110.5544,3.26
PREPARED FOODS,Baking Goods,87.5514,4.91
PREPARED FOODS,Fruits and Vegetables,174.3738,3.82
PREPARED FOODS,Baking Goods,150.4708,5
PREPARED FOODS,Canned,186.924,3.45
PREPARED FOODS,Starchy Foods,188.5898,4.11
PREPARED FOODS,Household,161.492,4.33
PREPARED FOODS,Household,106.5306,1.51
PREPARED FOODS,Baking Goods,39.4138,3.2
PREPARED FOODS,Baking Goods,151.305,2.21
PREPARED FOODS,Fruits and Vegetables,228.801,4.67
PREPARED FOODS,Baking Goods,127.6362,3.27
PREPARED FOODS,Meat,180.6292,3.63
PREPARED FOODS,Baking Goods,36.4874,4.9
PREPARED FOODS,Soft Drinks,236.4564,3.79
PREPARED FOODS,Fruits and Vegetables,102.7332,5
PREPARED FOODS,Canned,198.5768,2.19
PREPARED FOODS,Frozen Foods,243.9144,2.78
PREPARED FOODS,Household,55.4956,3.17
PREPARED FOODS,Health and Hygiene,108.228,3.92
PREPARED FOODS,Household,110.9544,4.99
PREPARED FOODS,Fruits and Vegetables,199.1426,5
PREPARED FOODS,Starchy Foods,239.4538,2.79
PREPARED FOODS,Hard Drinks,225.2088,3.24
PREPARED FOODS,Household,169.5106,2.04
PREPARED FOODS,Fruits and Vegetables,101.399,4.37
PREPARED FOODS,Snack Foods,236.2248,4.49
PREPARED FOODS,Baking Goods,151.205,3.6
PREPARED FOODS,Canned,227.8352,4.56
PREPARED FOODS,Snack Foods,51.2008,2.83
PREPARED FOODS,Household,154.5972,4.31
PREPARED FOODS,Fruits and Vegetables,219.0456,3.8
PREPARED FOODS,Snack Foods,191.882,2.42
PREPARED FOODS,Fruits and Vegetables,169.3474,2.23
PREPARED FOODS,Frozen Foods,53.9298,4.93
PREPARED FOODS,Snack Foods,118.3782,3.54
PREPARED FOODS,Soft Drinks,140.6154,3.58
PREPARED FOODS,Snack Foods,189.1556,4.14
PREPARED FOODS,Canned,155.7972,3.85
PREPARED FOODS,Fruits and Vegetables,123.0414,2.72
PREPARED FOODS,Meat,118.1808,3
PREPARED FOODS,Fruits and Vegetables,245.0144,4.26
PREPARED FOODS,Frozen Foods,82.825,4.5
PREPARED FOODS,Meat,195.611,4.99
PREPARED FOODS,Snack Foods,117.0124,2.63
PREPARED FOODS,Canned,112.2202,3.68
PREPARED FOODS,Household,38.8848,4.05
PREPARED FOODS,Meat,205.798,2.51
PREPARED FOODS,Canned,92.612,4.84
PREPARED FOODS,Snack Foods,240.9222,2.9
PREPARED FOODS,Others,130.0284,5
PREPARED FOODS,Meat,102.2674,3.21
PREPARED FOODS,Frozen Foods,244.9144,3.24
PREPARED FOODS,Canned,154.2972,2.24
PREPARED FOODS,Household,238.9248,4.45
PREPARED FOODS,Hard Drinks,145.6128,5
PREPARED FOODS,Frozen Foods,141.1812,5
PREPARED FOODS,Snack Foods,169.2132,3.43
PREPARED FOODS,Canned,178.3686,2.64
PREPARED FOODS,Household,116.2176,3.01
PREPARED FOODS,Starchy Foods,87.4172,2.84
PREPARED FOODS,Breads,226.4036,2.14
PREPARED FOODS,Health and Hygiene,160.392,4.85
PREPARED FOODS,Snack Foods,259.8962,2.03
PREPARED FOODS,Frozen Foods,96.9384,3.98
PREPARED FOODS,Snack Foods,255.2356,3.33
PREPARED FOODS,Starchy Foods,168.5158,5
PREPARED FOODS,Canned,95.2778,5
PREPARED FOODS,Snack Foods,100.8358,2.46
PREPARED FOODS,Snack Foods,73.6038,1.58
PREPARED FOODS,Breads,109.157,2.74
PREPARED FOODS,Health and Hygiene,127.8994,5
PREPARED FOODS,Household,117.215,2.84
PREPARED FOODS,Frozen Foods,244.2486,2.19
PREPARED FOODS,Starchy Foods,173.0738,4.13
PREPARED FOODS,Fruits and Vegetables,37.8506,4.3
PREPARED FOODS,Others,211.156,3.59
PREPARED FOODS,Snack Foods,142.2838,3.55
PREPARED FOODS,Baking Goods,104.0622,3.33
PREPARED FOODS,Snack Foods,101.0358,2.66
PREPARED FOODS,Fruits and Vegetables,118.0466,4.36
PREPARED FOODS,Dairy,47.0718,4.34
PREPARED FOODS,Household,38.1848,1.78
PREPARED FOODS,Frozen Foods,63.6194,2.22
PREPARED FOODS,Snack Foods,264.691,2.77
PREPARED FOODS,Fruits and Vegetables,239.4564,4.05
PREPARED FOODS,Snack Foods,175.037,3.97
PREPARED FOODS,Frozen Foods,83.1276,3.36
PREPARED FOODS,Snack Foods,104.4622,2.94
PREPARED FOODS,Snack Foods,227.2694,2.63
PREPARED FOODS,Health and Hygiene,94.4094,3.44
PREPARED FOODS,Soft Drinks,244.7486,3.77
PREPARED FOODS,Dairy,152.2708,3.88
PREPARED FOODS,Canned,74.567,1.73
PREPARED FOODS,Breads,44.0402,2.99
PREPARED FOODS,Starchy Foods,181.7634,3.73
PREPARED FOODS,Household,141.4496,5
PREPARED FOODS,Snack Foods,158.5262,5
PREPARED FOODS,Dairy,157.5288,4.34
PREPARED FOODS,Canned,186.4924,2.84
PREPARED FOODS,Household,169.5474,1.82
PREPARED FOODS,Health and Hygiene,177.6686,3.53
PREPARED FOODS,Household,182.8976,4.6
PREPARED FOODS,Snack Foods,112.1544,3
PREPARED FOODS,Snack Foods,153.7972,5
PREPARED FOODS,Snack Foods,213.256,4.05
PREPARED FOODS,Household,115.6518,3.6
PREPARED FOODS,Health and Hygiene,144.4102,2.95
PREPARED FOODS,Household,148.3392,3.63
PREPARED FOODS,Hard Drinks,45.906,4.38
PREPARED FOODS,Fruits and Vegetables,79.0328,3.24
PREPARED FOODS,Snack Foods,178.237,5
PREPARED FOODS,Fruits and Vegetables,65.7168,4.05
PREPARED FOODS,Canned,115.1834,3.64
PREPARED FOODS,Snack Foods,132.8284,4.13
PREPARED FOODS,Dairy,94.812,3.89
PREPARED FOODS,Baking Goods,186.6924,4.77
PREPARED FOODS,Household,153.4024,4.36
PREPARED FOODS,Canned,151.3024,3.05
PREPARED FOODS,Frozen Foods,245.5144,2.86
PREPARED FOODS,Dairy,250.175,4.45
PREPARED FOODS,Breads,131.131,4.44
PREPARED FOODS,Fruits and Vegetables,90.4146,2.08
PREPARED FOODS,Soft Drinks,56.4614,2.24
PREPARED FOODS,Snack Foods,54.864,4.96
PREPARED FOODS,Snack Foods,42.2428,4.47
PREPARED FOODS,Soft Drinks,118.444,2.43
PREPARED FOODS,Others,105.228,3.72
PREPARED FOODS,Frozen Foods,84.025,2.66
PREPARED FOODS,Fruits and Vegetables,149.2366,5
PREPARED FOODS,Household,194.511,3.38
PREPARED FOODS,Baking Goods,132.1284,3.85
PREPARED FOODS,Others,165.121,4.25
PREPARED FOODS,Fruits and Vegetables,144.4102,5
PREPARED FOODS,Soft Drinks,41.1138,3.59
PREPARED FOODS,Household,244.746,4.37
PREPARED FOODS,Soft Drinks,181.1634,3.93
PREPARED FOODS,Household,235.3616,2
PREPARED FOODS,Baking Goods,105.028,4.4
PREPARED FOODS,Fruits and Vegetables,91.683,3.6
PREPARED FOODS,Meat,156.0946,5
PREPARED FOODS,Health and Hygiene,165.7842,3.72
PREPARED FOODS,Household,99.17,3.59
PREPARED FOODS,Snack Foods,179.1318,5
PREPARED FOODS,Fruits and Vegetables,157.4262,4.15
PREPARED FOODS,Baking Goods,85.8856,3.91
PREPARED FOODS,Household,221.4456,3.05
PREPARED FOODS,Household,128.6336,3.2
PREPARED FOODS,Dairy,125.8704,3.43
PREPARED FOODS,Household,104.2964,3.62
PREPARED FOODS,Snack Foods,82.9908,3.24
PREPARED FOODS,Snack Foods,236.8932,4.33
PREPARED FOODS,Fruits and Vegetables,185.1898,4.8
PREPARED FOODS,Frozen Foods,231.201,5
PREPARED FOODS,Fruits and Vegetables,123.973,3.66
PREPARED FOODS,Frozen Foods,100.4016,2.96
PREPARED FOODS,Health and Hygiene,119.8414,2.86
PREPARED FOODS,Household,176.6054,3.21
PREPARED FOODS,Frozen Foods,198.2768,3.59
